CODE_5DIGIT,SIGUNGU,PM10_14,PM10_15,PM10_16,PM10_17,PM10_18,MOR_14,MOR_15,MOR_16,MOR_17,MOR_18
43113,Chungju-si,63,63,55,50.67,52,76,78,87,116,140
43114,Jecheon-si,53.5,58,53,48.5,46.5,62,97,83,99,116
43800,Danyang-gun,45,43,40,41,41,25,25,30,35,42
44131,"Dongnam-gu, Cheonan-si",42,48,49,47,44,98,131,125,113,122
44133,"Seobuk-gu, Cheonan-si",52,55,49,46,46,62,88,104,103,121
44200,Asan-si,45,38,49,53,44,131,127,137,124,172
44210,Seosan-si,39.5,47.5,43,44,35,84,73,99,133,131
44270,Dangjin-si,39,44,51.5,51.33,47,77,109,142,114,153
45111,"Wansan-gu, Jeonju-si",56,54,57,55.5,49,174,171,138,167,199
45113,"Deokjin-gu, Jeonju-si",49,42.5,53,50,46.67,107,147,115,133,141
45130,Gunsan-si,45,46.67,47.33,45.33,42.33,151,156,137,171,203
45140,Iksan-si,55.33,57,55.33,56,44.67,166,183,215,176,197
45180,Jeongeup-si,51,52,53,42,39,119,85,152,116,161
45190,Namwon-si,48,51,47,44,45,69,86,93,83,108
45790,Gochang-gun,47,50,48,43,34.5,74,87,77,82,80
46110,Mokpo-si,41,39,41.5,40.5,38.5,100,153,143,167,213
46130,Yeosu-si,36,33.75,34.4,33.6,30.88,86,143,139,181,224
46150,Suncheon-si,34.25,35.75,35.25,34.5,35.75,80,155,154,138,211
46230,Gwangyang-si,42,40,38.75,37,35.5,51,57,62,84,95
46830,Yeongam-gun,41,55,41,41,38,52,62,44,54,93
47111,"Nam-gu, Pohang-si",50,47,39.5,38.25,42.75,94,118,119,108,153
47113,"Buk-gu, Pohang-si",36,30,37,40,36,102,135,115,133,194
47130,Gyeongju-si,48,41,28,34,39,170,198,230,169,273
47150,Gimcheon-si,54,50,44,41,53,124,141,140,181,289
47170,Andong-si,47,40,37,39,37,130,169,149,167,221
47190,Gumi-si,52.25,47.5,41.75,41.25,48.75,116,139,143,130,193
47210,Yeongju-si,46,48,47,45,49,85,130,108,127,132
47290,Gyeongsan-si,47,49,43,44,43,117,132,121,141,196
48170,"Uichang-gu, Changwon-si",50.25,48.25,47,44,41,135,185,184,273,219
48240,"Seongsan-gu, Changwon-si",38,39,39,36,34,80,83,87,125,123
48121,"Masanhoewon-gu, Changwon-si",41.5,48,48.75,47,42.75,58,98,82,140,116
48123,"Jinhae-gu, Changwon-si",54.33,44,43,43.67,46,35,55,40,68,42
48127,Jinju-si,49,49,47.5,49,44.5,66,82,79,91,67
48129,Sacheon-si,49,45,47,43,42,66,88,59,101,96
48250,Gimhae-si,42.67,42,38,36,39,108,156,144,206,212
48310,Geoje-si,43,41.5,39.5,40,40,76,84,79,109,106
48330,Yangsan-si,49,49.5,46,45,44.5,61,110,92,153,138
48850,Hadong-gun,52,50,45,45,33,61,71,81,106,66
50110,Jeju-si,49,45.67,43,39.67,37,152,170,189,211,224
50130,Seogwipo-si,43,41,37,31.5,31,86,92,70,95,122
